Código Región,Nombre Región,Código Municipio,Nombre Municipio,Código Habilitación Prestador Salud,Razón Social Organización,Nombre Sede,Número NIT,Dirección,Número Teléfono,Dirección Correo Electrónico,Punto
7,Oriente,5002,Abejorral,50020436001,E.S.E HOSPITAL SAN JUAN DE DIOS DE ABEJORRAL,HOSPITAL SAN JUAN DE DIOS ABEJORRAL,"890,980,643",CL Circular X Kr Calibio,5748647181,abejhs01@gmail.com,"(5.788458, -75.426663)"
6,Occidente,5004,Abriaquí,50040588001,ESE HOSPITAL NUEVO HORIZONTE,ESE HOSPITAL NUEVO HORIZONTE,"811,032,722",CL 9A # 12-59,3104323014,ese@abriaqui-antioquia.gov.co,"(6.632296, -76.067405)"
7,Oriente,5021,Alejandría,50210509801,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,"800,029,509",KR 19 # 16-70,5748660077,hospitalalejandria@gmail.com,"(6.373932, -75.140366)"
8,Suroeste,5030,Amaga,50300437401,E.S.E. HOSPITAL SAN FERNANDO,E.S.E. HOSPITAL SAN FERNANDO,"890,906,346",Cra 51 No 52 81,5748300353,hospital@eseamaga-antioquia.gov.co,"(6.040678, -75.704572)"
4,Nordeste,5031,Amalfi,50310209101,E.S.E HOSPITAL EL CARMEN,E.S.E HOSPITAL EL CARMEN,"890,982,101",CL 23 # 23 - 40,5748301803,gerencia@hospitalelcarmen-amalfi-antioquia.gov.co,"(6.910925, -75.077171)"
8,Suroeste,5034,Andes,50340443201,E.S.E. HOSPITAL SAN RAFAEL,E.S.E. HOSPITAL SAN RAFAEL,"890,980,814",AV MEDELLIN # 48-20,5748414343,gestiondocumental@hospitaldeandes.gov.co,"(5.653782, -75.877633)"
8,Suroeste,5036,Angelópolis,50360510801,NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL LA MISERICORDIA,NUEVA E.S.E HOSPITAL LA MISERICORDIA,"890,980,959",CL 8 # 7-108,5748421146,archivodocumental.es@eselamisericordia-angelopolis-antioquia.gov.co,"(6.111182, -75.708992)"
5,Norte,5038,Angostura,50380153801,E.S.E. EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE  ANGOSTURA,E.S.E. EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,"890,982,183",Kr 10 # 16-1,5748645099,ANGOHS01@EDATEL.NET.CO,"(6.887402, -75.334797)"
4,Nordeste,5040,Anorí,50400326101,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,ESE HOSPITAL SAN JUAN DE DIOS DE ANORI,"890,982,138",CL ZEA (CALLE 30 CON CARRERA 29),5748350803,anorhs@hospitalanori.gov.co,"(7.072657, -75.145669)"
6,Occidente,5044,Anzá,50440501401,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,E.S.E. HOSPITAL SAN FRANCISCO DE ASIS,"890,397,282",KR 8 # 7-29,5748522029,hospitalanza@hospitalanza.gov.co; gerencia@hospitalanza-antioquia.gov.co,"(6.302545, -75.852356)"
9,Urabá,5045,Apartadó,50450214301,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,"890,905,991",KR 98 # 106-176 BARRIO LA CHINITA,5748283105,apartah01@edatel.net.co,"(7.887654, -76.628555)"
9,Urabá,5051,Arboletes,50510232301,E.S.E. HOSPITAL PEDRO NEL CARDONA,E.S.E. HOSPITAL PEDRO NEL CARMONA,"890,982,134",BARRIO EL DEPORTIVO,948200026,secretaria@esehpncarboletes-antioquia.gov.co,"(8.851489, -76.421499)"
7,Oriente,5055,Argelia,50550547901,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JULIAN,"890,981,851",CL 31 # 32-14,8650000 - 3146182345,gerencia@hospitalsanjulian.gov.co,"(5.731866, -75.144671)"
6,Occidente,5059,Armenia,50590550601,EMPRES SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,EMPRES SOCIAL DEL ESTADO HOSPITAL SAN MARTIN DE PORRES,"890,982,153",CL 11 # 6-69,5748559352,hsmpgerencia@gmail.com,"(6.159244, -75.785966)"
1,Valle de Aburrá,5079,Barbosa,50790407701,ESE HOSPITAL SAN VICENTE DE PAUL,ESE HOSPITAL SAN VICENTE DE PAUL,"890,905,193",KR 17 # 10 - 34,5744061341,esebarbosa@une.net.co,"(6.43651, -75.333209)"
1,Valle de Aburrá,5088,Bello,50880561801,E.S.E. HOSPITAL MARCO FIDEL SUAREZ,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARCO FIDEL SUAREZ,"890,985,703",CL 44 # 49B-90,4547510,gerencia@hmfs.gov.co,"(6.330313, -75.557731)"
1,Valle de Aburrá,5088,Bello,50880473401,"E.S.E. HOSPITAL MENTAL DE ANTIOQUIA ""MARÍA UPEGUI - HOMO""","E.S.E. HOSPITAL MENTAL DE ANTIOQUIA ""MARÍA UPEGUI - HOMO""","890,905,166",CL 38 # 55-310,4448330,gerencia@homo.gov.co,"(6.324341, -75.564802)"
1,Valle de Aburrá,5088,Bello,50880490901,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,"800,174,995",CL 54 # 56A-11,4482030,gestiondocumental@esebellosalud.gov.co,"(6.339078, -75.56404)"
5,Norte,5086,Belmira,50860550701,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL ROSARIO,"890,982,065",KR 19# 19 93,5748674147,gerencia@esehospital-belmira-antioquia.gov.co,"(6.607103, -75.666736)"
8,Suroeste,5091,Betania,50910457201,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,E.S.E. HOSPITAL SAN ANTONIO DE BETANIA,"890,981,494",CL 20 # 26-173,548435050,betahs01@gmail.com,"(5.748156, -75.980673)"
8,Suroeste,5093,Betulia,50930237101,E.S.E. HOSPITAL GERMAN VELEZ GUTIERREZ,E.S.E. HOSPITAL GERMAN VELEZ GUTIERREZ,"890,982,116",CL 21 # 15 - 20 SALIDA A MEDELLIN,604 843 60 85,hospital@esebetulia-antioquia.gov.co,"(6.113337, -75.984712)"
5,Norte,5107,Briceño,51070231101,EMPRESA SOCIAL DEL ESTADO HOSPITAL EL SAGRADO CORAZON,ESE HOSPITAL EL SAGRADO CORAZON,"800,044,320",CL 11 # 8-31,5748570099,brichs01@edatel.net.co,"(7.113115, -75.551047)"
6,Occidente,5113,Buriticá,51130559601,E.S.E. HOSPITAL SAN ANTONIO DE BURITICA,E.S.E. HOSPITAL SAN ANTONIO DE BURITICA,"890,983,843",CL 8 # 3-56,948527035,hsaburitica@gmail.com,"(6.719975, -75.907202)"
2,Bajo Cauca,5120,Cáceres,51200554701,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA,"890,982,430",KR 50 # 52-48,5748362039,hospitalcaceres@gmail.com,"(7.581577, -75.347834)"
6,Occidente,5125,Caicedo,51250831301,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,"800,037,244",KR 5 # 3-23,5748572123,gerencia@hospitalcaicedo.gov.co,"(6.404312, -75.982647)"
1,Valle de Aburrá,5129,Caldas,51290214601,E.S.E.  HOSPITAL SAN VICENTE DE PAUL DE CALDAS,E.S.E. HOSPITAL SAN VICENTE DE PAUL DE CALDAS,"890,907,215",KR 48 # 135S-41,094- 3786301,hospicaldas@esehospicaldas.gov.co,"(6.08673, -75.634566)"
5,Norte,5134,Campamento,51340593001,E.S.E. HOSPITAL LA SAGRADA FAMILIA,E.S.E. HOSPITAL LA SAGRADA FAMILIA,"890,985,457",CL BOLIVAR # 15-07,094-8614112,hospitalcampamento@hotmail.com,"(6.979421, -75.299327)"
6,Occidente,5138,Cañasgordas,51380491401,E.S.E. HOSPITAL SAN CARLOS,E.S.E. HOSPITAL SAN CARLOS,"890,980,784",KR 31 # 33-140,5748564181,canahs01@edatel.net.co,"(6.750362, -76.02582)"
